Source,Text,Topics
Ibn Sina (Avicenna),"The knowledge of anything is a consequence of the knowledge of God.",Knowledge; Philosophy; Faith
Prophet Muhammad (PBUH) - Sunan Ibn Majah 224,"Seek knowledge from the cradle to the grave.",Education; Knowledge; Lifelong Learning
Saladin,"Victory is changing the hearts of your opponents, not slaughter.",Leadership; Justice; Peace
Prophet Muhammad (PBUH) - Sahih al-Bukhari 5971,"The believer is not bitten from the same hole twice.",Wisdom; Learning; Caution
Fatimah bint Muhammad (RA),"Allah is my sufficiency, and He is the best disposer of affairs.",Trust in God; Faith; Reliance
Prophet Muhammad (PBUH) - Jami` at-Tirmidhi 2516,"The best jihad is a word of truth before a tyrant ruler.",Justice; Courage; Truth
Hasan al-Basri,"This world is a bridge; cross it, but do not build upon it.",Worldly Life; Spirituality; Detachment
Prophet Muhammad (PBUH) - Sahih Muslim 2586,"Whoever treads a path seeking knowledge, Allah will ease his way to Paradise.",Knowledge; Education; Reward
Uthman ibn Affan (RA),"Modesty is a part of faith.",Modesty; Faith; Ethics
Prophet Muhammad (PBUH) - Sahih al-Bukhari 13,"The signs of a hypocrite are three: lying, breaking promises, and betraying trust.",Hypocrisy; Ethics; Trust
Ibn Khaldun,"He who finds a new path is a pathfinder, even if the trail is old.",Innovation; Wisdom; Leadership
Prophet Muhammad (PBUH) - Sunan an-Nasa'i 4998,"The cure for ignorance is to ask questions.",Knowledge; Humility; Curiosity
Bilal ibn Rabah (RA),"I am a man who, when oppressed, seeks justice.",Justice; Resilience; Dignity
Prophet Muhammad (PBUH) - Sahih al-Bukhari 6227,"Do not waste water, even if you are at a flowing river.",Environment; Conservation; Ethics
Rabia al-Adawiyya,"O Allah, if I worship You for fear of Hell, burn me in Hell.",Sincerity; Love of God; Spirituality
Prophet Muhammad (PBUH) - Sahih Muslim 224,"The Muslim is the one from whose tongue and hand others are safe.",Safety; Ethics; Brotherhood
Muhammad Iqbal,"Be aware of your own worth; use all of your power to achieve it.",Self-Worth; Empowerment; Action
Prophet Muhammad (PBUH) - Jami` at-Tirmidhi 1924,"The best among you are those with the best character.",Character; Ethics; Virtue
Ibn Arabi,"The whole world is imagination. Truth is but the Creator.",Philosophy; Spirituality; Reality
Prophet Muhammad (PBUH) - Sunan Abu Dawood 3634,"The strong is not the one who overcomes people, but the one who controls himself while angry.",Self-Control; Anger Management; Ethics
Nana Asma'u,"Knowledge is the key to wealth and power.",Education; Empowerment; Knowledge
Prophet Muhammad (PBUH) - Sahih al-Bukhari 1896,"Take advantage of five before five: youth before old age, health before sickness, wealth before poverty, free time before busyness, and life before death.",Time Management; Gratitude; Preparation
Zainab bint Ali (RA),"If you fear nothing but Allah, you will hate nothing but falsehood.",Courage; Truth; Faith
Prophet Muhammad (PBUH) - Sahih al-Muslim 2125,"Allah does not look at your appearances or wealth, but at your hearts and deeds.",Sincerity; Humility; Deeds
Al-Farabi,"The greatest happiness is the happiness of the soul.",Happiness; Spirituality; Philosophy
Prophet Muhammad (PBUH) - Riyad as-Salihin 149,"A man’s true wealth is the good he does in this world.",Charity; Legacy; Ethics
Khalid ibn al-Walid (RA),"Patience in battle is better than strength.",Patience; Warfare; Resilience
Prophet Muhammad (PBUH) - Sahih al-Bukhari 4779,"The ink of the scholar is holier than the blood of the martyr.",Knowledge; Scholarship; Sacrifice
Muhammad Abduh,"Ignorance is the enemy of justice.",Education; Justice; Social Reform
Prophet Muhammad (PBUH) - Sunan Ibn Majah 4219,"The best of you are those who feed others and return greetings.",Generosity; Manners; Community
Abdul Qadir Gilani,"Your heart is a mirror; polish it with remembrance of Allah.",Spirituality; Remembrance; Self-Purification
Prophet Muhammad (PBUH) - Sahih Muslim 55,"Help your brother, whether he is the oppressor or the oppressed.",Justice; Brotherhood; Ethics
Nizam al-Mulk,"Without justice, there can be no lasting power.",Leadership; Justice; Governance
Prophet Muhammad (PBUH) - Jami` at-Tirmidhi 2485,"The best of people are those who bring most benefit to others.",Service; Generosity; Community
Malala Yousafzai,"One child, one teacher, one book can change the world.",Education; Empowerment; Change
Prophet Muhammad (PBUH) - Sahih al-Bukhari 3158,"The most perfect believer is the best in character.",Character; Faith; Virtue
Ibn Battuta,"Travel leaves you speechless, then turns you into a storyteller.",Travel; Knowledge; Curiosity
Prophet Muhammad (PBUH) - Sunan Abu Dawood 1662,"A good word is charity.",Communication; Charity; Kindness
Tariq ibn Ziyad (RA),"Burn the boats. There is no retreat.",Courage; Determination; Leadership
Prophet Muhammad (PBUH) - Sahih Muslim 2674,"Do not be angry.",Self-Control; Patience; Ethics
Ibn Hazm,"Knowledge without action is vanity.",Knowledge; Action; Accountability
Prophet Muhammad (PBUH) - Sahih al-Bukhari 2989,"The believer’s shade on the Day of Resurrection will be his charity.",Charity; Resurrection; Reward
Muhammad Ali Jinnah,"Unity, faith, and discipline.",Unity; Faith; Discipline
Prophet Muhammad (PBUH) - Riyad as-Salihin 83,"Allah is Kind and loves kindness.",Mercy; Compassion; Character
Amina bint Wahb (RA),"A mother’s lap is the first school.",Motherhood; Education; Family
Prophet Muhammad (PBUH) - Sahih al-Bukhari 5975,"The best of you are those who learn the Quran and teach it.",Quran; Education; Teaching
Nawal El Saadawi,"You cannot be a revolutionary without a sense of justice.",Justice; Activism; Courage
Prophet Muhammad (PBUH) - Sunan an-Nasa'i 2557,"Whoever believes in Allah and the Last Day, let him honor his guest.",Hospitality; Ethics; Community
Hassan al-Banna,"Act as if you will die tomorrow, and work as if you will live forever.",Preparation; Productivity; Balance
Prophet Muhammad (PBUH) - Sahih al-Muslim 151,"Even a smile is charity.",Charity; Kindness; Simplicity
Jamal al-Din al-Afghani,"The East can only be reformed by the East.",Self-Reliance; Reform; Unity
Prophet Muhammad (PBUH) - Sahih al-Bukhari 2409,"None of you should wish for death because of a calamity.",Patience; Resilience; Gratitude
Zaha Hadid,"There are 360 degrees. Why stick to one?",Innovation; Creativity; Vision
Prophet Muhammad (PBUH) - Jami` at-Tirmidhi 1941,"The most beloved deed to Allah is consistency, even if small.",Consistency; Worship; Sincerity
Muhammad Asad,"Islam is not a religion in the conventional sense.",Understanding Islam; Spirituality; Philosophy
Prophet Muhammad (PBUH) - Sahih al-Muslim 2242,"The greatest struggle is against one’s own desires.",Self-Control; Jihad; Ethics
Shirin Ebadi,"Human rights are universal, no matter the culture.",Justice; Human Rights; Equality
Prophet Muhammad (PBUH) - Sunan Abu Dawood 4940,"The best of you is the one who is best to his family.",Family; Kindness; Responsibility
Al-Khwarizmi,"What is simpler than simplicity? What is more complex than complexity?",Knowledge; Mathematics; Philosophy
Prophet Muhammad (PBUH) - Sahih al-Bukhari 3435,"Allah is Beautiful and loves beauty.",Beauty; Appreciation; Creation
Fatima al-Fihri,"Education is the light of the soul.",Education; Legacy; Empowerment
Prophet Muhammad (PBUH) - Sahih al-Muslim 1017,"The merciful will be shown mercy by the Most Merciful.",Mercy; Compassion; Reward
Mehmed the Conqueror,"A crown does not make a king.",Leadership; Humility; Wisdom
Prophet Muhammad (PBUH) - Riyad as-Salihin 312,"Speak good or remain silent.",Communication; Ethics; Self-Restraint
Ibn Qayyim,"The heart is a vessel; fill it with what matters most.",Spirituality; Priorities; Self-Reflection
Prophet Muhammad (PBUH) - Sahih al-Bukhari 5673,"The worst thing to fill one’s stomach with is wealth.",Contentment; Greed; Ethics
Nur Jahan,"A woman’s strength is in her wisdom.",Women; Wisdom; Leadership
Prophet Muhammad (PBUH) - Jami` at-Tirmidhi 1970,"Whoever covers the faults of a Muslim, Allah will cover his faults on Judgment Day.",Mercy; Brotherhood; Judgment
Ahmed Zewail,"Science is the language of the future.",Science; Education; Progress
Prophet Muhammad (PBUH) - Sahih Muslim 1955,"The best of wealth is a tongue that remembers Allah.",Remembrance; Wealth; Spirituality
Abdul Sattar Edhi,"Empty words and long praises do not impress God.",Sincerity; Action; Humility
Prophet Muhammad (PBUH) - Sunan Ibn Majah 3250,"The best of you are those who are slow to anger and quick to calm.",Patience; Anger Management; Character
Muhammad Ali,"Service to others is the rent you pay for your room here on Earth.",Service; Charity; Humility
Prophet Muhammad (PBUH) - Sahih al-Bukhari 6475,"The believer is not a slanderer, curser, or obscene.",Character; Ethics; Speech
Tawakkol Karman,"To lead is to serve.",Leadership; Service; Humility
Prophet Muhammad (PBUH) - Sahih Muslim 2865,"The best of you is the one who pays his debts in the best way.",Honesty; Finance; Ethics
Yusuf Islam (Cat Stevens),"Be thankful for what you have; you’ll end up having more.",Gratitude; Contentment; Spirituality
Prophet Muhammad (PBUH) - Jami` at-Tirmidhi 2490,"The best of you is the one who is best to his neighbors.",Community; Kindness; Social Responsibility
Malik ibn Anas,"Knowledge is a light that guides.",Knowledge; Wisdom; Guidance
Prophet Muhammad (PBUH) - Sunan Abu Dawood 1522,"The best prayer after the obligatory ones is the night prayer.",Worship; Prayer; Discipline
Muhammad Yunus,"Poverty is unnecessary.",Social Justice; Poverty Alleviation; Empowerment
Prophet Muhammad (PBUH) - Sahih al-Bukhari 1893,"The most beloved of deeds to Allah are those done consistently, even if small.",Consistency; Worship; Sincerity
